Time,r6in.8xlarge
2024-06-04T08:00:00Z,49.21302943
2024-06-04T09:00:00Z,49.21302943
2024-06-04T10:00:00Z,49.21305839
2024-06-04T11:00:00Z,49.21302943
2024-06-04T12:00:00Z,49.21302943
2024-06-04T13:00:00Z,49.21303746
2024-06-04T14:00:00Z,49.21302943
2024-06-04T15:00:00Z,49.21302943
2024-06-04T16:00:00Z,49.21302943
2024-06-04T17:00:00Z,49.21302943
2024-06-04T18:00:00Z,49.21308138
2024-06-04T19:00:00Z,49.21306914
2024-06-04T20:00:00Z,49.21302943
2024-06-04T21:00:00Z,49.21303777
2024-06-04T22:00:00Z,49.21302943
2024-06-04T23:00:00Z,49.21302943
2024-06-05T00:00:00Z,49.21303078
2024-06-05T01:00:00Z,49.21302943
2024-06-05T02:00:00Z,45.88089114
2024-06-05T03:00:00Z,49.2130304
2024-06-05T04:00:00Z,
2024-06-05T05:00:00Z,
2024-06-05T06:00:00Z,
2024-06-05T07:00:00Z,
2024-06-05T08:00:00Z,
2024-06-05T09:00:00Z,
2024-06-05T10:00:00Z,
2024-06-05T11:00:00Z,
2024-06-05T12:00:00Z,
2024-06-05T13:00:00Z,
2024-06-05T14:00:00Z,
2024-06-05T15:00:00Z,
2024-06-05T16:00:00Z,
2024-06-05T17:00:00Z,
2024-06-05T18:00:00Z,
2024-06-05T19:00:00Z,
2024-06-05T20:00:00Z,
2024-06-05T21:00:00Z,
2024-06-05T22:00:00Z,
2024-06-05T23:00:00Z,
